"Days_before_onset","DataSet","Feature","P.val","Mean.Emp","Mean.Null","Diff","P.val.adj","Adj_Stars"
0,"All Features","Rubneribacter_vir",3.25730547332455e-05,0.0273470230266057,0.00853528427241926,0.0188117387541864,0.0234200263532035,"*"
0,"Plus BacIrep","Bariatricus_vir",3.95476116209602e-05,0.0988067381594896,0.0595803640716952,0.0392263740877944,0.00140789497370618,"**"
0,"Plus BacIrep","Clostridioides_vir",0.000239865809277294,0.267924269987097,0.120426976791583,0.147497293195514,0.00474401267237315,"**"
0,"Plus BacIrep","Clostridium_vir",8.0028297646644e-05,0.296298837857713,0.117023700845518,0.179275137012195,0.00203500528301466,"**"
0,"Plus BacIrep","Cronobacter_vir",0.00162492599851342,0.31681993226398,0.105338523853437,0.211481408410543,0.0262942570668535,"*"
0,"Plus BacIrep","Cutibacterium_vir",0.000498424770219086,0.458172416786613,0.138779173013354,0.319393243773259,0.00887196090989973,"**"
0,"Plus BacIrep","Eggerthella_vir",6.95016593186568e-05,0.528354728089261,0.0854130927321675,0.442941635357093,0.00203500528301466,"**"
0,"Plus BacIrep","Enterobacter_vir",3.6578412031871e-07,0.911248618363685,0.233196144966147,0.678052473397538,6.51095734167304e-05,"***"
0,"Plus BacIrep","Johnsonella_vir",2.66396344489567e-05,1.17047211679803,0.169579620458784,1.00089249633925,0.00118546373297857,"**"
0,"Plus BacIrep","Klebsiella_vir",1.39350123630975e-05,0.963425869399378,0.0965380765673914,0.866887792831987,0.000826810733543785,"***"
0,"Plus BacIrep","Rubneribacter_vir",7.81531710045386e-07,0.270997773307665,0.10248855154861,0.168509221759055,6.95563221940394e-05,"***"
0,"Plus BacIrep","Salmonella_vir",0.000154950585702088,0.255403410616469,0.115113319289229,0.14029009132724,0.00344765053187146,"**"
0,"Plus BacMAX","Eggerthella_vir",6.35194792104844e-05,0.179823086942076,0.0137155901602952,0.166107496781781,0.00354438693994503,"**"
0,"Plus BacMAX","Enterobacter_vir",1.98115400792506e-05,0.26144064590098,0.045909461854834,0.215531184046146,0.00184247322737031,"**"
0,"Plus BacMAX","Johnsonella_vir",2.72515548870811e-05,0.276201603310406,0.0155640456285339,0.260637557681872,0.00190079595337391,"**"
0,"Plus BacMAX","Rubneribacter_vir",4.05989324128684e-07,0.0634338514240123,0.0191971596551166,0.0442366917688957,0.000113271021431903,"***"
0,"Plus BacMAX","Salmonella_vir",9.50510224593795e-07,0.0616521906388945,0.0186627781900954,0.0429894124487991,0.000132596176330834,"***"
0,"Plus BacPath","Eggerthella_vir",0.000222730254779948,0.251478357542037,0.0157574433388846,0.235720914203152,0.0112256048409094,"*"
0,"Plus BacPath","Enterobacter_vir",1.47589306883032e-05,0.409846172908706,0.0433696767764704,0.366476496132236,0.00123975017781747,"**"
0,"Plus BacPath","Johnsonella_vir",1.03497077124665e-05,0.679642814679052,0.0198464830420616,0.65979633163699,0.00123975017781747,"**"
0,"Plus BacPath","Klebsiella_vir",0.000617457320214369,0.433875937409083,0.0213349130519628,0.41254102435712,0.0238846504080027,"*"
0,"Plus BacPath","Rubneribacter_vir",8.80336829303116e-06,0.0595402086928854,0.0228267152430918,0.0367134934497936,0.00123975017781747,"**"
0,"Plus BacPath","Salmonella_vir",5.68816848981948e-05,0.0657929432055751,0.0259444828103972,0.0398484603951779,0.00358354614858627,"**"
0,"Plus BacPath","Serratia_vir",0.000663462511333407,0.0459051009475009,0.021349657234668,0.0245554437128329,0.0238846504080027,"*"
0,"Plus BacPath","ORNDEG.PWY..superpathway.of.ornithine.degradation_path",0.00131867176226177,0.147330426277882,0.0451812576289586,0.102149168648923,0.0415381605112458,"*"
0,"Plus BacRest","Clostridioides_vir",8.6783260169363e-05,0.123268923073907,0.040348616374547,0.08292030669936,0.00491410210709018,"**"
0,"Plus BacRest","Clostridium_vir",6.60292077928625e-05,0.18361965421198,0.0379115680614513,0.145708086150529,0.00427303301859524,"**"
0,"Plus BacRest","Cutibacterium_vir",0.00168866985616995,0.265774634252032,0.0297872278123298,0.235987406439702,0.0478104653028117,"*"
0,"Plus BacRest","Eggerthella_vir",0.000195867913100215,0.312769335525128,0.017769932410419,0.294999403114709,0.00806619678494522,"**"
0,"Plus BacRest","Enterobacter_vir",1.85448005587763e-07,0.752422801433308,0.0656815639493245,0.686741237483983,4.30841633015589e-05,"***"
0,"Plus BacRest","Johnsonella_vir",6.23889763412964e-06,1.11927061088114,0.0270876894215604,1.09218292145958,0.000706555157065182,"***"
0,"Plus BacRest","Klebsiella_vir",3.07721610010954e-05,0.905055505367444,0.0295421650679332,0.875513340299511,0.00278795778669924,"**"
0,"Plus BacRest","Pseudoalteromonas_vir",0.00153256652604915,0.0659695521122082,0.0156063474450726,0.0503632046671356,0.0462835090866843,"*"
0,"Plus BacRest","Rubneribacter_vir",1.90217056519024e-07,0.145397899468127,0.0366428236139023,0.108755075854225,4.30841633015589e-05,"***"
0,"Plus BacRest","Salmonella_vir",4.19905544020441e-06,0.169294363862766,0.0389229261803415,0.130371437682424,0.000634057371470866,"***"
0,"Plus BacRest","Serratia_vir",0.000101490180355583,0.103893813373461,0.0347801934766136,0.0691136198968474,0.00510833907789768,"**"
0,"Plus BacRest","Clostridium_baratii_vir",0.000132215151184847,0.0394737758181911,0.0159319230861939,0.0235418527319972,0.00598934634867357,"**"
0,"Plus BacRest","Clostridium_celatum_vir",0.00103311469929768,0.0386297826429214,0.0147374920822334,0.023892290560688,0.0360000737524499,"*"
