Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01724_vs01_68_1003-01_40	S1C1003_01724_vs01_68	1.0407802	0.8366142	176	4.9486003	714	6	0.008403362	1400560.1	1000000
S1C1003_01724_vs01_163_1003-01_40	S1C1003_01724_vs01_163	3.7107584	3.589041	389	11.79605	717	14	0.019525802	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_40	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_40	S1C1003_011133_vs01_15	6.71123	6.790099	627	13.823605	711	28	0.039381154	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_38	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_38	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_38	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_38	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_38	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_30	S1C1003_01724_vs01_168	0.52762926	0.47920793	148	0.77825314	711	2	0.0028129395	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_30	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_30	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_30	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_30	S1C1003_011133_vs01_15	2.889483	2.861386	520	3.2627642	711	11	0.015471167	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_33	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_33	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_33	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_33	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_33	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_8	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_68_1003-01_8	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_8	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_8	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_8	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_17	S1C1003_01724_vs01_168	0.2691622	0.24554455	151	0.19706519	711	1	0.0014064697	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_17	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01724_vs01_163_1003-01_17	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_17	S1C1003_01336_vs01_36	23.917543	23.536964	718	163.83678	720	96	0.13333334	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_17	S1C1003_011133_vs01_15	1.5900178	1.5524752	437	1.6244717	711	6	0.008438818	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_10	S1C1003_01724_vs01_168	1.8449198	1.7287129	360	3.5991216	711	7	0.0098452885	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_10	S1C1003_01724_vs01_68	0.7641844	0.6889764	155	1.6831911	714	3	0.004201681	1400560.1	1000000
S1C1003_01724_vs01_163_1003-01_10	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01336_vs01_36_1003-01_10	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_10	S1C1003_011133_vs01_15	0.5383244	0.4910891	223	0.5311179	711	2	0.0028129395	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_48	S1C1003_01724_vs01_168	1.882353	1.8653466	396	3.1432774	711	8	0.011251758	1406469.8	1000000
S1C1003_01724_vs01_68_1003-01_48	S1C1003_01724_vs01_68	2.4716313	2.425197	539	3.9263697	714	11	0.0154061625	1400560.3	1000000
S1C1003_01724_vs01_163_1003-01_48	S1C1003_01724_vs01_163	1.4391534	1.2798434	188	5.7909026	717	6	0.008368201	1394700.1	1000000
S1C1003_01336_vs01_36_1003-01_48	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
