Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM
S1C1003_01336_vs01_36_1003-01_55	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_55	S1C1003_011133_vs01_15	0.2228164	0.1940594	150	0.17347848	711	1	0.0014064697	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_53	S1C1003_01724_vs01_168	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_163_1003-01_53	S1C1003_01724_vs01_163	0	0	0	0	717	0	0	0	0
S1C1003_01724_vs01_68_1003-01_53	S1C1003_01724_vs01_68	0	0	0	0	714	0	0	0	0
S1C1003_01336_vs01_36_1003-01_53	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_53	S1C1003_011133_vs01_15	0	0	0	0	711	0	0	0	0
S1C1003_01724_vs01_168_1003-01_35	S1C1003_01724_vs01_168	6.0463457	6.0752473	622	11.187134	711	29	0.040787622	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_35	S1C1003_01724_vs01_163	3.5767195	3.440313	581	7.2374783	717	23	0.032078102	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_35	S1C1003_01724_vs01_68	6.076241	6.0354333	681	7.3103404	714	32	0.04481793	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_35	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_35	S1C1003_011133_vs01_15	6.4367204	6.3683167	689	13.396436	711	34	0.047819972	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_52	S1C1003_01724_vs01_168	4.4973264	4.39802	566	13.607582	711	23	0.032348804	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_52	S1C1003_01724_vs01_163	3.3985891	3.44227	673	3.2825422	717	18	0.025104603	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_52	S1C1003_01724_vs01_68	7.035461	7.155512	682	5.7820444	714	35	0.04901961	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_52	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_52	S1C1003_011133_vs01_15	8.941176	9.09703	611	10.316183	711	38	0.05344585	1406469.8	1000000
S1C1003_01724_vs01_168_1003-01_21	S1C1003_01724_vs01_168	2.0962567	2.051485	429	3.7942898	711	10	0.014064698	1406469.8	1000000
S1C1003_01724_vs01_163_1003-01_21	S1C1003_01724_vs01_163	1.9594356	1.9569472	444	2.1767972	717	11	0.015341702	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_21	S1C1003_01724_vs01_68	1.5602837	1.5295275	524	1.0425406	714	8	0.011204482	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_21	S1C1003_01336_vs01_36	50.15263	50.392998	719	101.35627	720	239	0.33194444	1388888.9	1000000
S1C1003_011133_vs01_15_1003-01_21	S1C1003_011133_vs01_15	4.292335	4.2930694	571	5.839387	711	18	0.025316456	1406469.6	1000000
S1C1003_01724_vs01_168_1003-01_30	S1C1003_01724_vs01_168	0.3707665	0.3049505	140	0.47657242	711	3	0.004219409	1406469.9	1000000
S1C1003_01724_vs01_163_1003-01_30	S1C1003_01724_vs01_163	0.52910054	0.53424656	300	0.24959335	717	2	0.0027894003	1394700.1	1000000
S1C1003_01724_vs01_68_1003-01_30	S1C1003_01724_vs01_68	0.24113475	0.16141732	68	0.42487687	714	2	0.0028011205	1400560.3	1000000
S1C1003_01336_vs01_36_1003-01_30	S1C1003_01336_vs01_36	0	0	0	0	720	0	0	0	0
S1C1003_011133_vs01_15_1003-01_30	S1C1003_011133_vs01_15	1.117647	1.0277227	400	1.4289916	711	6	0.008438818	1406469.9	1000000
S1C1003_01724_vs01_168_1003-01_16	S1C1003_01724_vs01_168	1.3850267	1.2693069	373	3.012204	711	10	0.014064698	1406469.8	1000000
