"Days_before_onset","DataSet","Feature","P.val","Mean.Emp","Mean.Null","Diff","P.val.adj","Adj_Stars"
0,"Plus BacIrep","Anaerococcus_vir",3.47103192040957e-08,0.174077972245293,0.0622698386366465,0.111808133608646,4.59911729454268e-06,"***"
0,"Plus BacIrep","Collinsella_vir",0.00189611839646508,0.16270520893531,0.0516232232060847,0.111081985729225,0.0279150763924026,"*"
0,"Plus BacIrep","Corynebacterium_vir",0.000115838676814689,0.287817680961918,0.113587528771656,0.174230152190262,0.0051162082259821,"**"
0,"Plus BacIrep","Cronobacter_vir",0.000439229503296173,0.299182960426461,0.11534075896601,0.183842201460451,0.0116395818373486,"*"
0,"Plus BacIrep","Cutibacterium_vir",1.48581403401608e-06,0.357475242380219,0.0619665175020561,0.295508724878163,9.84351797535653e-05,"***"
0,"Plus BacIrep","Dickeya_vir",3.27113069931069e-09,0.651659504783723,0.145071508369284,0.506587996414439,8.66849635317333e-07,"***"
0,"Plus BacIrep","Duncaniella_vir",0.00263661146819768,0.354277299032268,0.149055959948273,0.205221339083995,0.0332715256701136,"*"
0,"Plus BacIrep","Eisenbergiella_vir",1.58724910736822e-07,0.682562528590201,0.155244893832039,0.527317634758162,1.40207004484193e-05,"***"
0,"Plus BacIrep","Enterobacter_vir",0.00181031600523188,0.545380154290571,0.276164949192234,0.269215205098337,0.0279150763924026,"*"
0,"Plus BacIrep","Hungatella_vir",0.00092180625296657,0.590023715405455,0.100744786380427,0.489278929025028,0.0174484755025815,"*"
0,"Plus BacIrep","Izhakiella_vir",0.00170589448769048,0.689362381191741,0.13527713815668,0.554085243035061,0.0279150763924026,"*"
0,"Plus BacIrep","Johnsonella_vir",7.98576789707465e-05,0.902658708327558,0.199580534788256,0.703078173539302,0.00423245698544956,"**"
0,"Plus BacIrep","Klebsiella_vir",0.000993190907745447,0.43493318257208,0.0904039531560314,0.344529229416049,0.0175463727035029,"*"
0,"Plus BacIrep","Lactobacillus_vir",0.000236366912861985,0.114319308954574,0.0421767160079821,0.0721425929465919,0.00782965398855325,"**"
0,"Plus BacIrep","Rahnella_vir",0.000806362665217652,0.20599741730104,0.0664833984865369,0.139514018814503,0.0164373927909752,"*"
0,"Plus BacIrep","Renibacterium_vir",0.000489394202013183,0.305525962961242,0.080797784841484,0.224728178119758,0.0117899512303176,"*"
0,"Plus BacIrep","Romboutsia_vir",0.000319572190883987,0.29795298693703,0.109159718032311,0.188793268904719,0.00940962562047295,"**"
0,"Plus BacIrep","Rubneribacter_vir",0.00249418874102419,0.380822613031594,0.160065915132364,0.22075669789923,0.0330480008185705,"*"
0,"Plus BacIrep","Salmonella_vir",0.000136691313232142,0.235544315559147,0.0911132145259833,0.144431101033164,0.00517474257235966,"**"
0,"Plus BacIrep","Clostridium_cuniculi_vir",0.000657288121905915,0.0970789973690766,0.0513981160357397,0.0456808813333369,0.014515112692089,"*"
0,"Plus BacIrep","Clostridium_neonatale_vir",0.00242957206092483,0.0983172501068222,0.0490218787593511,0.0492953713474711,0.0330480008185705,"*"
0,"Plus BacIrep","Veillonella_infantium_iRep",0.00371039796469404,0.331602535507042,0.134706376548697,0.196896158958345,0.0446934300292691,"*"
0,"Plus BacPath","Anaerococcus_vir",0.000135257650118038,0.0169759772916656,0.00941984839179691,0.00755612889986869,0.0389590657890921,"*"
0,"Plus BacPath","Arabia_vir",0.000263236931007379,0.00430590029054414,0.00211413363632343,0.00219176665422071,0.0389590657890921,"*"
0,"Plus BacRest","Anaerococcus_vir",9.03726665158562e-06,0.033000052324846,0.0116268634793447,0.0213731888455013,0.00323986009459344,"**"
0,"Plus BacRest","Eggerthella_vir",0.000403606304894024,0.134368114027562,0.0419907100616996,0.0923774039658624,0.0194226212268368,"*"
0,"Plus BacRest","Enterococcus_vir",1.30802147882633e-06,0.39128578531351,0.0295913760839384,0.361694409229572,0.000937851400318479,"***"
0,"Plus BacRest","Enteroscipio_vir",4.35106757938785e-05,0.257208873888794,0.0630347613840968,0.194174112504697,0.00623943090884218,"**"
0,"Plus BacRest","Lactobacillus_vir",0.000898767544771356,0.418723484755409,0.0455505041703516,0.373172980585057,0.0322208164800531,"*"
0,"Plus BacRest","Mediterraneibacter_vir",0.000152193887823033,0.0455504921533432,0.00954795904993221,0.036002533103411,0.0116509066574635,"*"
0,"Plus BacRest","Renibacterium_vir",0.00144309112751493,0.0648959968771488,0.0164602999437054,0.0484356969334434,0.0413878535371282,"*"
0,"Plus BacRest","Romboutsia_vir",0.000432188608609654,0.142531088970565,0.040227871187121,0.102303217783444,0.0194226212268368,"*"
0,"Plus BacRest","Rubneribacter_vir",7.22840970238967e-05,0.141560450402858,0.0312222108568484,0.11033823954601,0.00688437137165574,"**"
0,"Plus BacRest","Salmonella_vir",4.01425355092603e-05,0.147314839342575,0.0320005477112512,0.115314291631324,0.00623943090884218,"**"
0,"Plus BacRest","Serratia_vir",0.000162495211401165,0.122999085209783,0.0314320721646961,0.0915670130450869,0.0116509066574635,"*"
0,"Plus BacRest","Shigella_vir",0.000433419720543081,0.152098158517763,0.0352276633213877,0.116870495196375,0.0194226212268368,"*"
0,"Plus BacRest","Sodalis_vir",0.000799896771822436,0.0857555557211665,0.0277988744655993,0.0579566812555672,0.030185578178773,"*"
0,"Plus BacRest","Staphylococcus_vir",0.00111539419702623,0.0642395142647663,0.024921052652262,0.0393184616125043,0.0337999212158878,"*"
0,"Plus BacRest","Yersinia_pseudotuberculosis_vir",7.68130696976931e-05,0.147637793653323,0.0505870302929563,0.0970507633603667,0.00688437137165574,"**"
0,"Plus BacRest","BLEOMYCIN_rest",6.4498750407058e-05,0.212995569176303,0.0474231785639138,0.165572390612389,0.00688437137165574,"**"
0,"Plus BacRest","COLISTIN_rest",3.00262461702679e-05,0.135439082494706,0.0456421816373343,0.0897969008573717,0.00623943090884218,"**"
0,"Plus BacRest","EFFLUX_rest",0.000306988903596662,0.180132461209671,0.068526208736501,0.11160625247317,0.0179720230390443,"*"
0,"Plus BacRest","LINCOSAMIDE.STREPTOGRAMIN_rest",0.000325852579508474,0.118098065462035,0.044300235014514,0.073797830447521,0.0179720230390443,"*"
0,"Plus BacRest","LIPOPEPTIDE_rest",0.00104682126112872,0.143945479351887,0.0509177604630152,0.0930277188888718,0.0337999212158878,"*"
0,"Plus BacRest","MACROLIDE_rest",0.000694930308594585,0.130902660457567,0.0561239061728388,0.0747787542847282,0.0281284288580368,"*"
0,"Plus BacRest","X1022678466.WP_063434356_1.1.1.blaACT.95.blaACT.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.cephalosporin.hydrolyzing_class_C_beta.lactamase_ACT.95_rest",0.000325847928082445,0.0395185609306968,0.0155276944314288,0.023990866499268,0.0179720230390443,"*"
0,"Plus BacRest","X1028083971.WP_063842939_1.1.1.blaSRT.blaSRT.hydrolase.2.CEPHALOSPORIN.BETA.LACTAM.SRT_SST_family_class_C_beta.lactamase_rest",0.00113137811601298,0.0462068193027932,0.0207196855073189,0.0254871337954743,0.0337999212158878,"*"
0,"Plus BacRest","X1028084240.WP_063843208_1.1.1.catA4.catA4.acetyltransferase.2.CHLORAMPHENICOL.PHENICOL.type_A.4_chloramphenicol_O.acetyltransferase_rest",0.00105266074250948,0.0520887524790846,0.016792717441082,0.0352960350380026,0.0337999212158878,"*"
0,"Plus BacRest","X490283234.WP_004179093_1.1.1.pmrB.pmrB.mutation.2...two.component_system_sensor_histidine_kinase_PmrB_rest",0.000706153025724774,0.0593733636452493,0.0214879148459016,0.0378854487993477,0.0281284288580368,"*"
0,"Plus BacTaxa","Anaerococcus_vir",7.19814054230249e-07,0.121886004492967,0.0439574682253159,0.0779285362676511,9.06965708330114e-05,"***"
0,"Plus BacTaxa","Collinsella_vir",0.000733511600927249,0.137547555436626,0.028145533738839,0.109402021697787,0.014593020271079,"*"
0,"Plus BacTaxa","Corynebacterium_vir",1.81461700239025e-05,0.21420743435796,0.0589508398110403,0.15525659454692,0.00111169424935173,"**"
0,"Plus BacTaxa","Cronobacter_vir",3.08308460004645e-05,0.23615319578147,0.0622734841816746,0.173879711599795,0.00145675747352195,"**"
0,"Plus BacTaxa","Cutibacterium_vir",2.58501034908993e-06,0.309305156249456,0.0492204259768221,0.260084730272634,0.000244283477988998,"***"
0,"Plus BacTaxa","Dickeya_vir",1.3320340189505e-09,0.51523937563688,0.0889884406466056,0.426250934990274,5.03508859163289e-07,"***"
0,"Plus BacTaxa","Duncaniella_vir",0.000164952829083659,0.287334083268993,0.0786305379984503,0.208703545270543,0.00519601411613526,"**"
0,"Plus BacTaxa","Eggerthella_vir",0.000687426412610178,0.324816530554983,0.0884446401969361,0.236371890358047,0.014593020271079,"*"
0,"Plus BacTaxa","Eisenbergiella_vir",4.21927767529914e-07,0.607108065311569,0.130577144943888,0.476530920367681,7.97443480631537e-05,"***"
0,"Plus BacTaxa","Enterobacter_vir",4.4525577610333e-05,0.488785353622951,0.187353023763578,0.301432329859373,0.00187007425963399,"**"
0,"Plus BacTaxa","Hungatella_vir",0.00186191018024901,0.462954263727249,0.0729895731669088,0.38996469056034,0.0263087822971646,"*"
0,"Plus BacTaxa","Izhakiella_vir",0.00187919873551176,0.645080567968606,0.0953729969166681,0.549707571051938,0.0263087822971646,"*"
0,"Plus BacTaxa","Johnsonella_vir",7.50935854998171e-05,0.796280040702427,0.134371685039956,0.661908355662471,0.00283853753189309,"**"
0,"Plus BacTaxa","Klebsiella_vir",0.0041155766955057,0.383493482774863,0.0859021384741233,0.29759134430074,0.0486152497156611,"*"
0,"Plus BacTaxa","Lactobacillus_vir",0.00033973219469134,0.0875562623661557,0.0317856722421447,0.055770590124011,0.00913873325831447,"**"
0,"Plus BacTaxa","Rahnella_vir",0.00102001814237698,0.159444633646059,0.0409829215392857,0.118461712106773,0.0181375512392946,"*"
0,"Plus BacTaxa","Ralstonia_vir",0.00105562467530286,0.198533029455466,0.0542972096960122,0.144235819759454,0.0181375512392946,"*"
0,"Plus BacTaxa","Raoultella_vir",1.76822628014678e-05,0.282474100593515,0.079866671077536,0.202607429515979,0.00111169424935173,"**"
0,"Plus BacTaxa","Renibacterium_vir",0.001306506917433,0.252728994748213,0.0645140707989863,0.188214923949227,0.0214721571647684,"*"
0,"Plus BacTaxa","Robinsoniella_vir",0.000210571246481761,0.277605835977096,0.0907449225269863,0.18686091345011,0.00612276393616197,"**"
0,"Plus BacTaxa","Romboutsia_vir",0.000362648145171209,0.233520918941095,0.0770644140679536,0.156456504873141,0.00913873325831447,"**"
